axis,level,seed,estimator,est,se,target,identity_diff,first_stage_F
sites,2,1,pooled,0.2406474717958486,0.03942134846210191,0.3,1.1102230246251565e-16,784.375856488903
sites,2,1,fedmr_cf,0.22404641338093095,0.04224248744494395,0.3,1.1102230246251565e-16,784.375856488903
sites,2,1,site_meta,0.24321645979203643,0.03962165029368566,0.3,1.1102230246251565e-16,784.375856488903
sites,2,1,sumstats,0.2468035942580191,0.04157042843089789,0.3,1.1102230246251565e-16,784.375856488903
sites,2,2,pooled,0.37842063028115897,0.03657066631340229,0.3,1.1102230246251565e-16,926.4804322951841
sites,2,2,fedmr_cf,0.38519960568711303,0.03870138458414599,0.3,1.1102230246251565e-16,926.4804322951841
sites,2,2,site_meta,0.37776469983197974,0.03639532200705279,0.3,1.1102230246251565e-16,926.4804322951841
sites,2,2,sumstats,0.37360795418014586,0.03766589477158169,0.3,1.1102230246251565e-16,926.4804322951841
sites,2,3,pooled,0.3557299299216859,0.057427791447673106,0.30000000000000004,1.6653345369377348e-16,368.2412024087997
sites,2,3,fedmr_cf,0.3382649493424983,0.06815090735538527,0.30000000000000004,1.6653345369377348e-16,368.2412024087997
sites,2,3,site_meta,0.3538364970137075,0.058625989209183015,0.30000000000000004,1.6653345369377348e-16,368.2412024087997
sites,2,3,sumstats,0.35301414880640936,0.06323539919317268,0.30000000000000004,1.6653345369377348e-16,368.2412024087997
sites,2,4,pooled,0.3354956046502044,0.04142362603348798,0.3,2.7755575615628914e-16,674.6184289731374
sites,2,4,fedmr_cf,0.3385836508583466,0.044656146841103965,0.3,2.7755575615628914e-16,674.6184289731374
sites,2,4,site_meta,0.3355778231021379,0.04134004662961517,0.3,2.7755575615628914e-16,674.6184289731374
sites,2,4,sumstats,0.33626144643008193,0.04365492219848312,0.3,2.7755575615628914e-16,674.6184289731374
sites,2,5,pooled,0.30328708948878363,0.044216272856149895,0.29999999999999993,1.1102230246251565e-16,610.963649792815
sites,2,5,fedmr_cf,0.2818381580063392,0.04848058706271386,0.29999999999999993,1.1102230246251565e-16,610.963649792815
sites,2,5,site_meta,0.3043152146161202,0.04470593481161781,0.29999999999999993,1.1102230246251565e-16,610.963649792815
sites,2,5,sumstats,0.3034764573121851,0.04906559220420296,0.29999999999999993,1.1102230246251565e-16,610.963649792815
sites,2,6,pooled,0.3224129312737223,0.03439745729736854,0.3,2.7755575615628914e-16,1133.35091775828
sites,2,6,fedmr_cf,0.31284592384506466,0.035880148819926384,0.3,2.7755575615628914e-16,1133.35091775828
sites,2,6,site_meta,0.3207702209505762,0.03443030828625233,0.3,2.7755575615628914e-16,1133.35091775828
sites,2,6,sumstats,0.3133169488035725,0.0373659939240196,0.3,2.7755575615628914e-16,1133.35091775828
sites,2,7,pooled,0.3396690317384934,0.047537313715687,0.3,4.440892098500626e-16,537.4114904491636
sites,2,7,fedmr_cf,0.34163983618763494,0.05256821093801081,0.3,4.440892098500626e-16,537.4114904491636
sites,2,7,site_meta,0.3393189891302696,0.047866082499591706,0.3,4.440892098500626e-16,537.4114904491636
sites,2,7,sumstats,0.3376852600231101,0.050199624550134145,0.3,4.440892098500626e-16,537.4114904491636
sites,2,8,pooled,0.2743829741569799,0.050577235406422685,0.3,1.1102230246251565e-16,459.70195435589915
sites,2,8,fedmr_cf,0.2636989288339019,0.056768170324573215,0.3,1.1102230246251565e-16,459.70195435589915
sites,2,8,site_meta,0.2733109338736621,0.050365937186359615,0.3,1.1102230246251565e-16,459.70195435589915
