site,round,x,f
site01,0,-3.0,-0.6455928683280945
site01,0,-2.900000095367432,-0.618144690990448
site01,0,-2.799999952316284,-0.5906963348388672
site01,0,-2.700000047683716,-0.5632480382919312
site01,0,-2.5999999046325684,-0.5357997417449951
site01,0,-2.5,-0.508524477481842
site01,0,-2.400000095367432,-0.4814772009849548
site01,0,-2.299999952316284,-0.4544298648834228
site01,0,-2.200000047683716,-0.4273824691772461
site01,0,-2.0999999046325684,-0.4003350734710693
site01,0,-2.0,-0.3732877373695373
site01,0,-1.899999976158142,-0.3462404608726501
site01,0,-1.7999999523162842,-0.3191930651664734
site01,0,-1.7000000476837158,-0.2921457886695862
site01,0,-1.600000023841858,-0.2650983929634094
site01,0,-1.5,-0.2418950647115707
site01,0,-1.399999976158142,-0.2181050926446914
site01,0,-1.2999999523162842,-0.1930464953184127
site01,0,-1.2000000476837158,-0.1679879277944564
site01,0,-1.100000023841858,-0.1435769349336624
site01,0,-1.0,-0.1250216215848922
site01,0,-0.8999999761581421,-0.1068406254053115
site01,0,-0.800000011920929,-0.0927542895078659
site01,0,-0.699999988079071,-0.0793189257383346
site01,0,-0.6000000238418579,-0.0685623437166214
site01,0,-0.5,-0.0596550107002258
site01,0,-0.4000000059604645,-0.0467251390218734
site01,0,-0.3000000119209289,-0.0370866656303405
site01,0,-0.2000000029802322,-0.016819879412651
site01,0,-0.1000000014901161,0.0091035291552543
site01,0,0.0,0.0344225466251373
site01,0,0.1000000014901161,0.0561733394861221
site01,0,0.2000000029802322,0.0750468447804451
site01,0,0.3000000119209289,0.0929232537746429
site01,0,0.4000000059604645,0.108469158411026
site01,0,0.5,0.1198349222540855
site01,0,0.6000000238418579,0.1309248507022857
site01,0,0.699999988079071,0.1403709799051284
site01,0,0.800000011920929,0.1550519317388534
site01,0,0.8999999761581421,0.1705982834100723
site01,0,1.0,0.1860172748565673
site01,0,1.100000023841858,0.1867783665657043
site01,0,1.2000000476837158,0.1838583052158355
site01,0,1.2999999523162842,0.1837741732597351
site01,0,1.399999976158142,0.1842075288295745
site01,0,1.5,0.1846408993005752
site01,0,1.600000023841858,0.1850742697715759
site01,0,1.7000000476837158,0.1855076253414154
site01,0,1.7999999523162842,0.1855354756116867
site01,0,1.899999976158142,0.1840749233961105
site01,0,2.0,0.1809754818677902
site01,0,2.0999999046325684,0.1770774573087692
site01,0,2.200000047683716,0.173179417848587
site01,0,2.299999952316284,0.1692813783884048
site01,0,2.400000095367432,0.1641103476285934
site01,0,2.5,0.1587188690900802
site01,0,2.5999999046325684,0.1547739058732986
site01,0,2.700000047683716,0.1502920538187027
site01,0,2.799999952316284,0.1447382718324661
site01,0,2.900000095367432,0.1391844302415847
site01,0,3.0,0.1344735771417617
site01,1,-3.0,-2.3249473571777344
site01,1,-2.900000095367432,-2.251227855682373
site01,1,-2.799999952316284,-2.177508354187012
site01,1,-2.700000047683716,-2.1037888526916504
site01,1,-2.5999999046325684,-2.0300698280334477
site01,1,-2.5,-1.9563506841659544
site01,1,-2.400000095367432,-1.8826311826705933
site01,1,-2.299999952316284,-1.808911681175232
site01,1,-2.200000047683716,-1.7351924180984497
site01,1,-2.0999999046325684,-1.661473035812378
site01,1,-2.0,-1.587696552276611
site01,1,-1.899999976158142,-1.5138150453567505
site01,1,-1.7999999523162842,-1.4402726888656616
site01,1,-1.7000000476837158,-1.3691803216934204
site01,1,-1.600000023841858,-1.2980878353118896
site01,1,-1.5,-1.2269952297210691
site01,1,-1.399999976158142,-1.1559027433395386
site01,1,-1.2999999523162842,-1.0848101377487185
site01,1,-1.2000000476837158,-1.0113548040390017
site01,1,-1.100000023841858,-0.9370368719100952
site01,1,-1.0,-0.870776891708374
site01,1,-0.8999999761581421,-0.8059743642807007
site01,1,-0.800000011920929,-0.7341340184211731
site01,1,-0.699999988079071,-0.6510573625564575
site01,1,-0.6000000238418579,-0.571293830871582
site01,1,-0.5,-0.5014152526855469
site01,1,-0.4000000059604645,-0.4224445819854736
site01,1,-0.3000000119209289,-0.3269853591918945
site01,1,-0.2000000029802322,-0.1991306841373443
site01,1,-0.1000000014901161,-0.0853836238384246
site01,1,0.0,0.0370862185955047
site01,1,0.1000000014901161,0.169204369187355
site01,1,0.2000000029802322,0.2821652889251709
site01,1,0.3000000119209289,0.3967776000499725
site01,1,0.4000000059604645,0.5064612627029419
site01,1,0.5,0.6100569367408752
site01,1,0.6000000238418579,0.7457594275474548
site01,1,0.699999988079071,0.8930602073669434
site01,1,0.800000011920929,1.0370631217956543
site01,1,0.8999999761581421,1.1807286739349363
site01,1,1.0,1.333983063697815
site01,1,1.100000023841858,1.4873162508010864
site01,1,1.2000000476837158,1.6059671640396118
site01,1,1.2999999523162842,1.724617838859558
site01,1,1.399999976158142,1.8432687520980835
site01,1,1.5,1.9603990316390991
site01,1,1.600000023841858,2.0806543827056885
site01,1,1.7000000476837158,2.2089438438415527
site01,1,1.7999999523162842,2.343754291534424
site01,1,1.899999976158142,2.4785656929016118
site01,1,2.0,2.6133766174316406
site01,1,2.0999999046325684,2.74912691116333
site01,1,2.200000047683716,2.889995574951172
site01,1,2.299999952316284,3.030773162841797
site01,1,2.400000095367432,3.170451164245605
site01,1,2.5,3.3101282119750977
site01,1,2.5999999046325684,3.449805736541748
site01,1,2.700000047683716,3.5894832611083984
site01,1,2.799999952316284,3.729160785675049
site01,1,2.900000095367432,3.868838310241699
site01,1,3.0,4.00851583480835
site01,2,-3.0,-1.7939372062683103
site01,2,-2.900000095367432,-1.7384741306304932
site01,2,-2.799999952316284,-1.6830112934112549
site01,2,-2.700000047683716,-1.627548098564148
site01,2,-2.5999999046325684,-1.572084903717041
site01,2,-2.5,-1.5166221857070925
site01,2,-2.400000095367432,-1.4611592292785645
site01,2,-2.299999952316284,-1.405696153640747
site01,2,-2.200000047683716,-1.3502333164215088
site01,2,-2.0999999046325684,-1.294770121574402
site01,2,-2.0,-1.239307165145874
site01,2,-1.899999976158142,-1.1838442087173462
site01,2,-1.7999999523162842,-1.1281142234802246
site01,2,-1.7000000476837158,-1.0718529224395752
site01,2,-1.600000023841858,-1.0158145427703855
site01,2,-1.5,-0.9597758650779724
site01,2,-1.399999976158142,-0.903737246990204
site01,2,-1.2999999523162842,-0.8476988673210144
site01,2,-1.2000000476837158,-0.7906719446182251
site01,2,-1.100000023841858,-0.7342879176139832
site01,2,-1.0,-0.6794795989990234
site01,2,-0.8999999761581421,-0.6246715188026428
site01,2,-0.800000011920929,-0.569182276725769
site01,2,-0.699999988079071,-0.5072363018989563
site01,2,-0.6000000238418579,-0.4477397799491882
site01,2,-0.5,-0.3885956406593323
site01,2,-0.4000000059604645,-0.3191820979118347
site01,2,-0.3000000119209289,-0.2469445914030075
site01,2,-0.2000000029802322,-0.160549059510231
site01,2,-0.1000000014901161,-0.065148189663887
site01,2,0.0,0.02664215862751
site01,2,0.1000000014901161,0.1197829768061637
site01,2,0.2000000029802322,0.2072671502828598
site01,2,0.3000000119209289,0.3050499558448791
site01,2,0.4000000059604645,0.3920143842697143
site01,2,0.5,0.4690784215927124
site01,2,0.6000000238418579,0.5550602674484253
site01,2,0.699999988079071,0.6651377081871033
site01,2,0.800000011920929,0.7687681317329407
site01,2,0.8999999761581421,0.8756435513496399
site01,2,1.0,0.9876099824905396
site01,2,1.100000023841858,1.1200357675552368
site01,2,1.2000000476837158,1.2260324954986572
site01,2,1.2999999523162842,1.332970380783081
site01,2,1.399999976158142,1.4399086236953735
site01,2,1.5,1.546846866607666
site01,2,1.600000023841858,1.6662732362747192
site01,2,1.7000000476837158,1.7941744327545166
site01,2,1.7999999523162842,1.920283794403076
site01,2,1.899999976158142,2.046393632888794
site01,2,2.0,2.172728538513184
site01,2,2.0999999046325684,2.3080458641052246
site01,2,2.200000047683716,2.443363904953003
site01,2,2.299999952316284,2.578681468963623
site01,2,2.400000095367432,2.713999032974243
site01,2,2.5,2.8493165969848637
site01,2,2.5999999046325684,2.984623670578003
site01,2,2.700000047683716,3.119881153106689
site01,2,2.799999952316284,3.2551381587982178
site01,2,2.900000095367432,3.3903956413269043
site01,2,3.0,3.525652885437012
site01,3,-3.0,-1.429774522781372
site01,3,-2.900000095367432,-1.3888978958129885
site01,3,-2.799999952316284,-1.3480215072631836
site01,3,-2.700000047683716,-1.3070859909057615
site01,3,-2.5999999046325684,-1.265789031982422
site01,3,-2.5,-1.224492073059082
site01,3,-2.400000095367432,-1.1831951141357422
site01,3,-2.299999952316284,-1.1418981552124023
site01,3,-2.200000047683716,-1.1006014347076416
site01,3,-2.0999999046325684,-1.0593042373657229
site01,3,-2.0,-1.018007516860962
