site,round,stage,n_train,n_test,loss,mse,mae,r2,fs_r2
site01,0,global,1140,286,1.3987302780151367,1.3987302780151367,0.936843991279602,-0.0284932851791381,0.0217035588937736
site01,0,local,1140,286,1.3926489353179932,1.3926489353179932,0.937061846256256,-0.0240216255187988,0.0217035588937736
site01,1,global,1140,286,1.3693183660507202,1.3693183660507202,0.9333096146583556,-0.0068665742874145,0.0217035588937736
site01,1,local,1140,286,1.36399507522583,1.36399507522583,0.9326419234275818,-0.0029523372650146,0.0217035588937736
site01,2,global,1140,286,1.3758890628814695,1.3758890628814695,0.9340975880622864,-0.0116980075836181,0.0217035588937736
site01,2,local,1140,286,1.3749005794525146,1.3749005794525146,0.933739960193634,-0.010971188545227,0.0217035588937736
site01,3,global,1140,286,1.3749487400054932,1.3749487400054932,0.9332966804504396,-0.0110065937042236,0.0217035588937736
site01,3,local,1140,286,1.3748652935028076,1.3748652935028076,0.9336355924606324,-0.0109452009201049,0.0217035588937736
site01,4,global,1140,286,1.3704248666763306,1.3704248666763306,0.9331677556037904,-0.0076801776885986,0.0217035588937736
site01,4,local,1140,286,1.3717350959777832,1.3717350959777832,0.9333146214485168,-0.0086435079574584,0.0217035588937736
site02,0,global,1888,473,1.3136975765228271,1.3136975765228271,0.9202538728713988,-0.001615285873413,0.092725156891254
site02,0,local,1888,473,1.3171989917755127,1.3171989917755127,0.9214478135108948,-0.0042848587036132,0.092725156891254
site02,1,global,1888,473,1.3258670568466189,1.3258670568466189,0.923509120941162,-0.0108938217163085,0.092725156891254
site02,1,local,1888,473,1.325891375541687,1.325891375541687,0.9229071736335754,-0.0109122991561889,0.092725156891254
site02,2,global,1888,473,1.3225613832473757,1.3225613832473757,0.92240571975708,-0.0083733797073364,0.092725156891254
site02,2,local,1888,473,1.3256795406341553,1.3256795406341553,0.922439694404602,-0.0107507705688476,0.092725156891254
site02,3,global,1888,473,1.3237460851669312,1.3237460851669312,0.9231652617454528,-0.0092766284942626,0.092725156891254
site02,3,local,1888,473,1.3288538455963137,1.3288538455963137,0.9238134026527404,-0.0131709575653076,0.092725156891254
