site,round,stage,n_train,n_test,loss,c_index,events,fs_r2
site01,0,global,1140,286,5.127292156219482,0.4171764888097266,174.0,0.1148087987359186
site01,0,local,1140,286,4.8211774826049805,0.6057848679625184,174.0,0.1148087987359186
site01,1,global,1140,286,4.793574333190918,0.6095407728645551,174.0,0.1148087987359186
site01,1,local,1140,286,4.814073085784912,0.6123673817083559,174.0,0.1148087987359186
site01,2,global,1140,286,4.792423248291016,0.6073336947262449,174.0,0.1148087987359186
site01,2,local,1140,286,4.796864986419678,0.6068303260280338,174.0,0.1148087987359186
site01,3,global,1140,286,4.790975570678711,0.6059784713079842,174.0,0.1148087987359186
site01,3,local,1140,286,4.791357517242432,0.6064431193371022,174.0,0.1148087987359186
site01,4,global,1140,286,4.791769027709961,0.6050878959188415,174.0,0.1148087987359186
site01,4,local,1140,286,4.803007125854492,0.6077209014171765,174.0,0.1148087987359186
site02,0,global,1888,473,5.67904806137085,0.3676197183098592,280.0,0.0697191616289116
site02,0,local,1888,473,5.347283840179443,0.6170281690140845,280.0,0.0697191616289116
site02,1,global,1888,473,5.319340705871582,0.6101267605633803,280.0,0.0697191616289116
site02,1,local,1888,473,5.313760757446289,0.6141830985915493,280.0,0.0697191616289116
site02,2,global,1888,473,5.3144636154174805,0.6121690140845071,280.0,0.0697191616289116
site02,2,local,1888,473,5.3127312660217285,0.6129295774647887,280.0,0.0697191616289116
site02,3,global,1888,473,5.308870315551758,0.6167183098591549,280.0,0.0697191616289116
site02,3,local,1888,473,5.307985305786133,0.6173661971830986,280.0,0.0697191616289116
site02,4,global,1888,473,5.308404922485352,0.6191549295774648,280.0,0.0697191616289116
site02,4,local,1888,473,5.305809020996094,0.619943661971831,280.0,0.0697191616289116
site03,0,global,2784,696,5.9056077003479,0.4151459547382359,422.0,0.0728420454749579
site03,0,local,2784,696,5.667254447937012,0.6049308034063947,422.0,0.0728420454749579
site03,1,global,2784,696,5.665440559387207,0.6073034500836811,422.0,0.0728420454749579
site03,1,local,2784,696,5.686895847320557,0.6079419810591549,422.0,0.0728420454749579
site03,2,global,2784,696,5.664111614227295,0.6075790266099382,422.0,0.0728420454749579
site03,2,local,2784,696,5.681883811950684,0.6078344390001277,422.0,0.0728420454749579
site03,3,global,2784,696,5.663434028625488,0.6073236142197488,422.0,0.0728420454749579
site03,3,local,2784,696,5.668710231781006,0.6069606597705322,422.0,0.0728420454749579
site03,4,global,2784,696,5.6626691818237305,0.6068732818475726,422.0,0.0728420454749579
site03,4,local,2784,696,5.675573348999023,0.6060263881327338,422.0,0.0728420454749579
site04,0,global,3644,912,6.155704021453857,0.4176182021336843,556.0,0.102206996217027
site04,0,local,3644,912,5.970780372619629,0.5569773315169976,556.0,0.102206996217027
site04,1,global,3644,912,5.963969230651856,0.5686483094301501,556.0,0.102206996217027
site04,1,local,3644,912,5.962971210479736,0.5638306828096061,556.0,0.102206996217027
site04,2,global,3644,912,5.957849502563477,0.57114322011847,556.0,0.102206996217027
site04,2,local,3644,912,5.955595016479492,0.569379180506023,556.0,0.102206996217027
site04,3,global,3644,912,5.95396614074707,0.5737720600615309,556.0,0.102206996217027
site04,3,local,3644,912,5.950784206390381,0.5725207781672356,556.0,0.102206996217027
site04,4,global,3644,912,5.949270248413086,0.5755054872728943,556.0,0.102206996217027
site04,4,local,3644,912,5.947459697723389,0.575769519232241,556.0,0.102206996217027
site05,0,global,3704,927,6.20765495300293,0.4020697059920958,558.0,0.0594327592914366
site05,0,local,3704,927,5.9304399490356445,0.5925161624391767,558.0,0.0594327592914366
site05,1,global,3704,927,5.918937206268311,0.5984861753082096,558.0,0.0594327592914366
site05,1,local,3704,927,5.919827461242676,0.6006030931367696,558.0,0.0594327592914366
site05,2,global,3704,927,5.916403770446777,0.6003518043297823,558.0,0.0594327592914366
site05,2,local,3704,927,5.914487361907959,0.6016691668633827,558.0,0.0594327592914366
site05,3,global,3704,927,5.913536548614502,0.6020042186060325,558.0,0.0594327592914366
site05,3,local,3704,927,5.912652492523193,0.6030246034586477,558.0,0.0594327592914366
site05,4,global,3704,927,5.91226863861084,0.6030055664278153,558.0,0.0594327592914366
site05,4,local,3704,927,5.916259288787842,0.6038850772522711,558.0,0.0594327592914366
