suite,scenario,dataset,seed,x,f
combined,clean,quadratic,6,1.2999999523162842,0.9224648326635361
combined,clean,quadratic,6,1.399999976158142,1.0178170055150986
combined,clean,quadratic,6,1.5,1.116681084036827
combined,clean,quadratic,6,1.600000023841858,1.2171275466680527
combined,clean,quadratic,6,1.7000000476837158,1.3246637433767319
combined,clean,quadratic,6,1.7999999523162842,1.432199940085411
combined,clean,quadratic,6,1.899999976158142,1.541087731719017
combined,clean,quadratic,6,2.0,1.6545179933309555
combined,clean,quadratic,6,2.0999999046325684,1.766421422362328
combined,clean,quadratic,6,2.200000047683716,1.87724195420742
combined,clean,quadratic,6,2.299999952316284,1.9880621284246445
combined,clean,quadratic,6,2.400000095367432,2.0971659272909164
combined,clean,quadratic,6,2.5,2.2061487287282944
combined,clean,quadratic,6,2.5999999046325684,2.315131768584252
combined,clean,quadratic,6,2.700000047683716,2.4241148084402084
combined,clean,quadratic,6,2.799999952316284,2.532122239470482
combined,clean,quadratic,6,2.900000095367432,2.6346322149038315
combined,clean,quadratic,6,3.0,2.737141951918602
combined,clean,quadratic,1,-3.0,-0.1348216533660887
combined,clean,quadratic,1,-2.900000095367432,-0.13685528934001912
combined,clean,quadratic,1,-2.799999952316284,-0.1388889253139495
combined,clean,quadratic,1,-2.700000047683716,-0.1409225463867186
combined,clean,quadratic,1,-2.5999999046325684,-0.14315345883369432
combined,clean,quadratic,1,-2.5,-0.1460214853286742
combined,clean,quadratic,1,-2.400000095367432,-0.148889511823654
combined,clean,quadratic,1,-2.299999952316284,-0.1517575383186339
combined,clean,quadratic,1,-2.200000047683716,-0.1546255648136138
combined,clean,quadratic,1,-2.0999999046325684,-0.1574935913085936
combined,clean,quadratic,1,-2.0,-0.1604975908994673
combined,clean,quadratic,1,-1.899999976158142,-0.163522958755493
combined,clean,quadratic,1,-1.7999999523162842,-0.1665483117103575
combined,clean,quadratic,1,-1.7000000476837158,-0.169573664665222
combined,clean,quadratic,1,-1.600000023841858,-0.1725990176200865
combined,clean,quadratic,1,-1.5,-0.1756052970886229
combined,clean,quadratic,1,-1.399999976158142,-0.1787449717521666
combined,clean,quadratic,1,-1.2999999523162842,-0.18189397454261771
combined,clean,quadratic,1,-1.2000000476837158,-0.1850429475307463
combined,clean,quadratic,1,-1.100000023841858,-0.1881919503211974
combined,clean,quadratic,1,-1.0,-0.19134095311164842
combined,clean,quadratic,1,-0.8999999761581421,-0.1936308294534682
combined,clean,quadratic,1,-0.800000011920929,-0.19253744184970842
combined,clean,quadratic,1,-0.699999988079071,-0.1808009445667266
combined,clean,quadratic,1,-0.6000000238418579,-0.1674337536096572
combined,clean,quadratic,1,-0.5,-0.15469127893447862
combined,clean,quadratic,1,-0.4000000059604645,-0.14194880425930012
combined,clean,quadratic,1,-0.3000000119209289,-0.1289880275726317
combined,clean,quadratic,1,-0.2000000029802322,-0.0930146127939223
combined,clean,quadratic,1,-0.1000000014901161,-0.043868564069271
combined,clean,quadratic,1,0.0,0.0
combined,clean,quadratic,1,0.1000000014901161,0.044259712100029
combined,clean,quadratic,1,0.2000000029802322,0.08680815994739541
combined,clean,quadratic,1,0.3000000119209289,0.1278263181447983
combined,clean,quadratic,1,0.4000000059604645,0.16897369921207428
combined,clean,quadratic,1,0.5,0.2150240391492844
combined,clean,quadratic,1,0.6000000238418579,0.2639923989772797
combined,clean,quadratic,1,0.699999988079071,0.3252173960208894
combined,clean,quadratic,1,0.800000011920929,0.39189746975898754
combined,clean,quadratic,1,0.8999999761581421,0.45857742428779613
combined,clean,quadratic,1,1.0,0.5249072015285493
combined,clean,quadratic,1,1.100000023841858,0.5953282415866853
combined,clean,quadratic,1,1.2000000476837158,0.6723950803279878
combined,clean,quadratic,1,1.2999999523162842,0.7494619190692903
combined,clean,quadratic,1,1.399999976158142,0.8309360444545747
combined,clean,quadratic,1,1.5,0.913153558969498
combined,clean,quadratic,1,1.600000023841858,0.9953708946704866
combined,clean,quadratic,1,1.7000000476837158,1.0777150690555573
combined,clean,quadratic,1,1.7999999523162842,1.1670030653476715
combined,clean,quadratic,1,1.899999976158142,1.256291538476944
combined,clean,quadratic,1,2.0,1.3455800116062164
combined,clean,quadratic,1,2.0999999046325684,1.4357122480869293
combined,clean,quadratic,1,2.200000047683716,1.5281241238117218
combined,clean,quadratic,1,2.299999952316284,1.6205357611179352
combined,clean,quadratic,1,2.400000095367432,1.712947517633438
combined,clean,quadratic,1,2.5,1.8053591549396515
combined,clean,quadratic,1,2.5999999046325684,1.8969687521457668
combined,clean,quadratic,1,2.700000047683716,1.9882444441318508
combined,clean,quadratic,1,2.799999952316284,2.080321341753006
combined,clean,quadratic,1,2.900000095367432,2.1734063923358917
combined,clean,quadratic,1,3.0,2.2664919197559357
combined,clean,quadratic,5,-3.0,0.0031825620681048003
combined,clean,quadratic,5,-2.900000095367432,0.0031825620681048003
