round,site,malicious,rule,weight,norm,clipped,kept,share,flagged
0,site01,0,median,0.02582632926304343,1.154689505826981,0,0.00779896013864818,0.0779896013864818,1
0,site02,0,median,0.04277202600756666,1.3766912933860096,0,0.03552859618717504,0.3552859618717504,1
0,site03,0,median,0.06307061462132711,1.6215168848352701,0,0.07452339688041594,0.7452339688041594,0
0,site04,0,median,0.0825536349425704,1.7213455832147022,0,0.14298093587521662,1.429809358752166,0
0,site05,0,median,0.083912915430099,1.639990356821946,0,0.08145580589254767,0.8145580589254766,0
0,site06,0,median,0.10201400058902155,1.9765281879647212,0,0.10571923743500866,1.0571923743500866,0
0,site07,0,median,0.12940350241272286,1.983505908880059,0,0.3561525129982669,3.5615251299826687,0
0,site08,0,median,0.14777644366915113,1.9169048552677566,0,0.1195840554592721,1.1958405545927209,0
0,site09,0,median,0.1526698534242541,2.2488070804458338,0,0.05285961871750433,0.5285961871750433,0
0,site10,1,median,0.17000067964024376,22.182074758299684,0,0.02339688041594454,0.2339688041594454,1
1,site01,0,median,0.02582632926304343,0.6035566453067814,0,0.01386481802426343,0.1386481802426343,1
1,site02,0,median,0.04277202600756666,0.5160425764721752,0,0.019064124783362217,0.19064124783362218,1
1,site03,0,median,0.06307061462132711,0.8384875096563983,0,0.0415944540727903,0.415944540727903,1
1,site04,0,median,0.0825536349425704,0.9764475600466312,0,0.07279029462738301,0.7279029462738302,0
1,site05,0,median,0.083912915430099,0.9958779365745988,0,0.05545927209705372,0.5545927209705372,0
1,site06,0,median,0.10201400058902155,1.0102363514723618,0,0.04852686308492201,0.4852686308492201,1
1,site07,0,median,0.12940350241272286,1.2274579966710766,0,0.5641247833622184,5.6412478336221845,0
1,site08,0,median,0.14777644366915113,1.1984599009484032,0,0.09792027729636049,0.979202772963605,0
1,site09,0,median,0.1526698534242541,1.0721085943440687,0,0.0831889081455806,0.831889081455806,0
1,site10,1,median,0.17000067964024376,11.28836359371284,0,0.0034662045060658577,0.03466204506065858,1
2,site01,0,median,0.02582632926304343,0.3486654455658139,0,0.0017331022530329288,0.017331022530329292,1
2,site02,0,median,0.04277202600756666,0.4646267997417663,0,0.01993067590987868,0.19930675909878687,1
2,site03,0,median,0.06307061462132711,0.462560764959477,0,0.02859618717504333,0.28596187175043336,1
2,site04,0,median,0.0825536349425704,0.5469714835364625,0,0.03466204506065858,0.34662045060658586,1
2,site05,0,median,0.083912915430099,0.6490112440548444,0,0.03292894280762565,0.32928942807625655,1
2,site06,0,median,0.10201400058902155,0.7772809655036974,0,0.03292894280762565,0.32928942807625655,1
2,site07,0,median,0.12940350241272286,0.7335106741443688,0,0.7287694974003466,7.287694974003467,0
2,site08,0,median,0.14777644366915113,0.7396311319067657,0,0.07105719237435008,0.710571923743501,0
2,site09,0,median,0.1526698534242541,0.8968518516544587,0,0.043327556325823226,0.43327556325823235,1
2,site10,1,median,0.17000067964024376,7.118184334713229,0,0.006065857885615251,0.06065857885615253,1
3,site01,0,median,0.02582632926304343,0.3372746983791243,0,0.00779896013864818,0.0779896013864818,1
3,site02,0,median,0.04277202600756666,0.8044522273376976,0,0.00779896013864818,0.0779896013864818,1
3,site03,0,median,0.06307061462132711,0.45568124837341173,0,0.043327556325823226,0.43327556325823224,1
3,site04,0,median,0.0825536349425704,0.5985754719829879,0,0.03292894280762565,0.3292894280762565,1
3,site05,0,median,0.083912915430099,0.7079752701852384,0,0.024263431542461005,0.24263431542461003,1
3,site06,0,median,0.10201400058902155,0.6277320775849219,0,0.04246100519930676,0.4246100519930676,1
3,site07,0,median,0.12940350241272286,0.8055142876536397,0,0.729636048526863,7.29636048526863,0
3,site08,0,median,0.14777644366915113,0.8130999020099415,0,0.0632582322357019,0.632582322357019,0
3,site09,0,median,0.1526698534242541,0.7501002137494467,0,0.04072790294627383,0.4072790294627383,1
3,site10,1,median,0.17000067964024376,8.808083532808675,0,0.00779896013864818,0.0779896013864818,1
4,site01,0,median,0.02582632926304343,0.40627073046029627,0,0.008665511265164644,0.08665511265164647,1
4,site02,0,median,0.04277202600756666,0.5282863843078035,0,0.01559792027729636,0.15597920277296365,1
4,site03,0,median,0.06307061462132711,0.4412381241869284,0,0.01559792027729636,0.15597920277296365,1
4,site04,0,median,0.0825536349425704,0.5690181892446159,0,0.03292894280762565,0.32928942807625655,1
4,site05,0,median,0.083912915430099,0.65624059631417,0,0.036395147313691506,0.3639514731369151,1
4,site06,0,median,0.10201400058902155,0.5992364223200348,0,0.033795493934142114,0.33795493934142123,1
4,site07,0,median,0.12940350241272286,0.8036435252754109,0,0.7616984402079723,7.616984402079725,0
4,site08,0,median,0.14777644366915113,0.8858487779894677,0,0.03292894280762565,0.32928942807625655,1
4,site09,0,median,0.1526698534242541,0.7714563665220086,0,0.05805892547660312,0.5805892547660314,0
4,site10,1,median,0.17000067964024376,6.7976088059049635,0,0.004332755632582322,0.04332755632582323,1
