site,round,x,f
site01,0,-3.0,-0.1776982247829437
site01,0,-2.900000095367432,-0.1736666560173034
site01,0,-2.799999952316284,-0.1696350276470184
site01,0,-2.700000047683716,-0.1656034439802169
site01,0,-2.5999999046325684,-0.1615718454122543
site01,0,-2.5,-0.1575402319431305
site01,0,-2.400000095367432,-0.1535086631774902
site01,0,-2.299999952316284,-0.1494770348072052
site01,0,-2.200000047683716,-0.1454454660415649
site01,0,-2.0999999046325684,-0.1414138674736023
site01,0,-2.0,-0.137382298707962
site01,0,-1.899999976158142,-0.1343088448047638
site01,0,-1.7999999523162842,-0.1301072388887405
site01,0,-1.7000000476837158,-0.1248367130756378
site01,0,-1.600000023841858,-0.1195662170648574
site01,0,-1.5,-0.1139207333326339
site01,0,-1.399999976158142,-0.1081817299127578
site01,0,-1.2999999523162842,-0.1014640480279922
site01,0,-1.2000000476837158,-0.0944086015224456
site01,0,-1.100000023841858,-0.0854521989822387
site01,0,-1.0,-0.0770932585000991
site01,0,-0.8999999761581421,-0.0687343776226043
site01,0,-0.800000011920929,-0.062611237168312
site01,0,-0.699999988079071,-0.0599860362708568
site01,0,-0.6000000238418579,-0.0586818419396877
site01,0,-0.5,-0.0577624402940273
site01,0,-0.4000000059604645,-0.057887215167284
site01,0,-0.3000000119209289,-0.0562630407512187
site01,0,-0.2000000029802322,-0.052994679659605
site01,0,-0.1000000014901161,-0.0475756786763668
site01,0,0.0,-0.0409967564046382
site01,0,0.1000000014901161,-0.0340580604970455
site01,0,0.2000000029802322,-0.0182924941182136
site01,0,0.3000000119209289,-0.0028326921164989
site01,0,0.4000000059604645,0.0056830719113349
site01,0,0.5,0.0159198846668005
site01,0,0.6000000238418579,0.0193094592541456
site01,0,0.699999988079071,0.0167415421456098
site01,0,0.800000011920929,0.0119282789528369
site01,0,0.8999999761581421,0.0098113473504781
site01,0,1.0,0.0067831873893737
site01,0,1.100000023841858,0.0009878017008304
site01,0,1.2000000476837158,-0.0073249898850917
site01,0,1.2999999523162842,-0.0178849957883358
site01,0,1.399999976158142,-0.0283915214240551
site01,0,1.5,-0.0390972457826137
site01,0,1.600000023841858,-0.0518299005925655
site01,0,1.7000000476837158,-0.0668279379606247
site01,0,1.7999999523162842,-0.0818260014057159
site01,0,1.899999976158142,-0.096824049949646
site01,0,2.0,-0.111822098493576
site01,0,2.0999999046325684,-0.1268201768398285
site01,0,2.200000047683716,-0.1418182253837585
site01,0,2.299999952316284,-0.156816303730011
site01,0,2.400000095367432,-0.171814352273941
site01,0,2.5,-0.1866828203201294
site01,0,2.5999999046325684,-0.2015143632888794
site01,0,2.700000047683716,-0.2163839042186737
site01,0,2.799999952316284,-0.2313431501388549
site01,0,2.900000095367432,-0.2463023960590362
site01,0,3.0,-0.2612616121768951
site01,1,-3.0,1.1102423667907717
site01,1,-2.900000095367432,1.0658472776412964
site01,1,-2.799999952316284,1.0214519500732422
site01,1,-2.700000047683716,0.9770567417144777
site01,1,-2.5999999046325684,0.932661473751068
site01,1,-2.5,0.8882662057876587
site01,1,-2.400000095367432,0.8438711166381836
site01,1,-2.299999952316284,0.7994758486747742
site01,1,-2.200000047683716,0.7550806403160095
site01,1,-2.0999999046325684,0.7106854319572449
site01,1,-2.0,0.6662903428077698
site01,1,-1.899999976158142,0.6218950152397156
site01,1,-1.7999999523162842,0.5774998068809509
site01,1,-1.7000000476837158,0.5323051810264587
site01,1,-1.600000023841858,0.4871858358383178
site01,1,-1.5,0.4420665204524994
site01,1,-1.399999976158142,0.3969471454620361
site01,1,-1.2999999523162842,0.3518278002738952
site01,1,-1.2000000476837158,0.3021929264068603
site01,1,-1.100000023841858,0.2573499381542206
site01,1,-1.0,0.2115150392055511
site01,1,-0.8999999761581421,0.1666329950094223
site01,1,-0.800000011920929,0.1282886117696762
