site,round,x,f
site01,0,-3.0,0.5752683877944946
site01,0,-2.900000095367432,0.5583664178848267
site01,0,-2.799999952316284,0.5414645671844482
site01,0,-2.700000047683716,0.5245627164840698
site01,0,-2.5999999046325684,0.5076608657836914
site01,0,-2.5,0.4907589256763458
site01,0,-2.400000095367432,0.4738571047782898
site01,0,-2.299999952316284,0.4569551944732666
site01,0,-2.200000047683716,0.4396300613880157
site01,0,-2.0999999046325684,0.4220117628574371
site01,0,-2.0,0.4043935239315033
site01,0,-1.899999976158142,0.3867752254009247
site01,0,-1.7999999523162842,0.3691569864749908
site01,0,-1.7000000476837158,0.3527659773826599
site01,0,-1.600000023841858,0.3370826244354248
site01,0,-1.5,0.3213992714881897
site01,0,-1.399999976158142,0.3057158589363098
site01,0,-1.2999999523162842,0.2907779216766357
site01,0,-1.2000000476837158,0.2780356705188751
site01,0,-1.100000023841858,0.2666862607002258
site01,0,-1.0,0.2564671039581299
site01,0,-0.8999999761581421,0.2462479770183563
site01,0,-0.800000011920929,0.2360288202762603
site01,0,-0.699999988079071,0.2153371274471283
site01,0,-0.6000000238418579,0.1952251344919204
site01,0,-0.5,0.1734657287597656
site01,0,-0.4000000059604645,0.1518249958753585
site01,0,-0.3000000119209289,0.1344172060489654
site01,0,-0.2000000029802322,0.118508756160736
site01,0,-0.1000000014901161,0.1001330763101577
site01,0,0.0,0.0834134668111801
site01,0,0.1000000014901161,0.0729677379131317
site01,0,0.2000000029802322,0.0681221336126327
site01,0,0.3000000119209289,0.0626500770449638
site01,0,0.4000000059604645,0.055512573570013
site01,0,0.5,0.0459932126104831
site01,0,0.6000000238418579,0.0384403467178344
site01,0,0.699999988079071,0.0308707132935524
site01,0,0.800000011920929,0.0261148884892463
site01,0,0.8999999761581421,0.022318460047245
site01,0,1.0,0.02217997610569
site01,0,1.100000023841858,0.0244564190506935
site01,0,1.2000000476837158,0.0258849710226058
site01,0,1.2999999523162842,0.0268686711788177
site01,0,1.399999976158142,0.0286462232470512
site01,0,1.5,0.0307173728942871
site01,0,1.600000023841858,0.0327885299921035
site01,0,1.7000000476837158,0.0352121479809284
site01,0,1.7999999523162842,0.0389480963349342
site01,0,1.899999976158142,0.0426851585507392
site01,0,2.0,0.0471633374691009
site01,0,2.0999999046325684,0.0522815026342868
site01,0,2.200000047683716,0.0577765069901943
site01,0,2.299999952316284,0.0623477585613727
site01,0,2.400000095367432,0.0656117424368858
site01,0,2.5,0.0683020800352096
site01,0,2.5999999046325684,0.0714998319745063
site01,0,2.700000047683716,0.0763277858495712
site01,0,2.799999952316284,0.0811557248234748
site01,0,2.900000095367432,0.0872099995613098
site01,0,3.0,0.0937289148569107
site01,1,-3.0,-0.960595428943634
site01,1,-2.900000095367432,-0.9238128066062928
site01,1,-2.799999952316284,-0.8870299458503723
site01,1,-2.700000047683716,-0.8502472639083862
site01,1,-2.5999999046325684,-0.8134644031524658
site01,1,-2.5,-0.7766607403755188
site01,1,-2.400000095367432,-0.7395997643470764
site01,1,-2.299999952316284,-0.702538788318634
site01,1,-2.200000047683716,-0.6654779314994812
site01,1,-2.0999999046325684,-0.6284169554710388
site01,1,-2.0,-0.591356098651886
site01,1,-1.899999976158142,-0.5542951226234436
site01,1,-1.7999999523162842,-0.5172342658042908
site01,1,-1.7000000476837158,-0.4801733493804931
site01,1,-1.600000023841858,-0.4431123733520508
site01,1,-1.5,-0.4089273810386657
site01,1,-1.399999976158142,-0.3738361597061157
site01,1,-1.2999999523162842,-0.3384789228439331
site01,1,-1.2000000476837158,-0.3031216263771057
site01,1,-1.100000023841858,-0.2677643895149231
site01,1,-1.0,-0.2324071377515792
site01,1,-0.8999999761581421,-0.1970498710870742
site01,1,-0.800000011920929,-0.1602120846509933
site01,1,-0.699999988079071,-0.1210561841726303
site01,1,-0.6000000238418579,-0.0867961645126342
site01,1,-0.5,-0.0503601133823394
site01,1,-0.4000000059604645,-0.0108228474855422
site01,1,-0.3000000119209289,0.0516791716217994
site01,1,-0.2000000029802322,0.1123195439577102
site01,1,-0.1000000014901161,0.1686276346445083
site01,1,0.0,0.2218528836965561
site01,1,0.1000000014901161,0.2536291480064392
site01,1,0.2000000029802322,0.2854053974151611
site01,1,0.3000000119209289,0.3223157823085785
site01,1,0.4000000059604645,0.3555622100830078
site01,1,0.5,0.3863018155097961
site01,1,0.6000000238418579,0.4184322953224182
site01,1,0.699999988079071,0.4530147910118103
site01,1,0.800000011920929,0.4875972867012024
site01,1,0.8999999761581421,0.5221797227859497
site01,1,1.0,0.5569331645965576
site01,1,1.100000023841858,0.5920789837837219
site01,1,1.2000000476837158,0.6272247433662415
site01,1,1.2999999523162842,0.6615354418754578
site01,1,1.399999976158142,0.6945008635520935
site01,1,1.5,0.7270917296409607
site01,1,1.600000023841858,0.7596825361251831
